Board,Name,Link
Arduino UNO,SparkFun RedBoard,http://www.digikey.com/product-detail/en/DEV-12757/1568-1051-ND/5140816
Teensy 3.2,Teensy AT90USB1286 USB DEV,http://www.digikey.com/product-detail/en/731/1528-1056-ND/5011072
Teensy 3.2,Teensy XBee Module adapter,http://www.digikey.com/product-detail/en/BOB-13311/1568-1316-ND/5764509
Adafruit Gemma,The LilyPad Arduino 328 Main Board,http://www.digikey.com/product-detail/en/DEV-13342/1568-1337-ND/5806593
UDOO Neo Full,UDOO Dual Core,http://www.digikey.com/product-detail/en/UDOO%20DUAL/1485-1000-ND/4563112
UDOO Neo Full,UDOO Neo Basic,http://www.digikey.com/product-detail/en/SA69-0100-0100-C0/1485-1012-ND/5618137
UDOO Neo Full,UDOO Neo Extended,http://www.digikey.com/product-detail/en/SA69-0200-1000-C0/1485-1013-ND/5618138
UDOO Neo Full,UDOO Quad Core,http://www.digikey.com/product-detail/en/UDOO%20QUAD/1485-1001-ND/4563113
BeagleBone Black,USB Cable for BBB,http://www.digikey.com/product-detail/en/3021003-03/Q362-ND/1531289
Arduino UNO,Wireless Arduino Shield,http://www.digikey.com/product-detail/en/A000064/1050-1023-ND/2784004
Arduino Yun,Yun Shield,http://www.digikey.com/product-search/en/programmers-development-systems/evaluation-boards-expansion-boards/2622798?k=arduino%20yun
